Latitude,Longitude,O3_Total,CO_Total,CH4_Total
-11.832071084780578,-44.41530095330631,271.56998,1.5000141e+18,3.8001484e+19
-11.766584630341363,-43.97292675326723,271.0201,1.3922948e+18,3.7894083e+19
-11.703430255260928,-43.55218967763496,268.76303,1.4512642e+18,3.800693e+19
-11.642912888247253,-43.154440213757674,268.5415,1.4271981e+18,3.830004e+19
-11.583594283321201,-42.76903233124206,265.14282,1.4631034e+18,3.7183684e+19
-11.525304587785167,-42.39441069700689,263.71112,1.3399752e+18,3.680848e+19
-11.467609134202231,-42.02728605432529,272.8371,1.2880335e+18,3.7046413e+19
-11.410093978224575,-41.664633625744045,275.69473,1.3238406e+18,3.6858598e+19
-11.352068022472055,-41.3016944806583,267.25223,1.3141176e+18,3.732848e+19
-11.29396393039361,-40.941309939578645,269.43686,1.4261529e+18,3.741914e+19
-11.23449578400646,-40.57496252477175,266.8279,1.4311697e+18,3.7777693e+19
-11.173477439828895,-40.2015369130594,273.7777,1.3771883e+18,3.837561e+19
-11.110380076917924,-39.817783809741165,276.4232,1.4555749e+18,3.8967374e+19
-11.044603436664898,-39.42007255178246,268.2926,1.4796037e+18,3.9139166e+19
-10.975438986396854,-39.00422902170839,271.4972,1.4465629e+18,3.935077e+19
-10.902026255274352,-38.565326584803,272.9369,1.4760739e+18,3.944267e+19
-10.822909259921976,-38.094847345618696,270.0456,1.503413e+18,3.8845112e+19
-10.737956974855116,-37.59290888533933,269.73538,1.4996312e+18,3.974398e+19
-10.644704159112376,-37.04536358371532,270.5513,1.56652e+18,4.021103e+19
-10.539737602245733,-36.43307841040292,275.90494,1.6426772e+18,4.073787e+19
-10.420662063876755,-35.74404150980513,276.7169,1.8619931e+18,4.1144803e+19
-10.28347817486752,-34.9577855145172,281.4226,1.8964346e+18,4.1563545e+19
-10.121452733602505,-34.03960629489508,284.27505,1.9335708e+18,4.104566e+19
-11.972891780606085,-49.102296504682165,274.3539,1.9906413e+18,3.8671873e+19
-11.853302366826648,-48.167069960268776,270.4487,1.870594e+18,3.885503e+19
-11.74752847253172,-47.36439343128029,272.9121,1.8091914e+18,3.8098557e+19
-11.65354395253612,-46.66973922630708,268.5956,1.7216739e+18,3.727791e+19
-11.568208403080808,-46.053241356374016,267.98352,1.6308315e+18,3.6863894e+19
-11.489648343178038,-45.497085128402354,272.5615,1.8708126e+18,3.735053e+19
-11.416105083681233,-44.9857055523545,269.6121,1.6378891e+18,3.7444524e+19
-11.34752228202867,-44.516912973533415,270.49503,1.514277e+18,3.814736e+19
-11.281978181051612,-44.075401152031425,270.98602,1.6214043e+18,3.8469304e+19
-11.219093711251764,-43.65760305392547,269.33917,1.5174183e+18,3.8559477e+19
-11.158273107008151,-43.25848398432904,269.37494,1.4133234e+18,3.821506e+19
-11.098972312511615,-42.87380312405634,261.34702,1.36283e+18,3.7841773e+19
-11.040722062021318,-42.499880452950094,268.13986,1.3792653e+18,3.7336037e+19
-10.983085542483158,-42.13343358015636,273.16565,1.4031928e+18,3.759196e+19
-10.92564831703718,-41.771443649460984,265.12772,1.3743663e+18,3.7714916e+19
-10.868000280966415,-41.411043043164995,269.19122,1.3833304e+18,3.7256908e+19
-10.80973222929563,-41.049420508897754,270.44296,1.4093803e+18,3.7756583e+19
-10.750402191917678,-40.6837212221481,266.4151,1.3656457e+18,3.741677e+19
-10.689544295963982,-40.31094917620381,269.4643,1.5065165e+18,3.8001664e+19
-10.626635305421244,-39.92785966443776,270.04446,1.4866337e+18,3.8847545e+19
-10.561076093851653,-39.53082821986896,264.67245,1.5034633e+18,3.8604597e+19
-10.49251018080725,-39.1179089508387,270.33618,1.4908564e+18,3.8567218e+19
-10.419047184065732,-38.67751456539869,265.43158,1.499075e+18,3.8636896e+19
-10.340676393238109,-38.21033403086794,272.0302,1.45883e+18,3.919289e+19
-10.255728378806626,-37.706679274043935,271.05487,1.4745461e+18,3.923827e+19
-10.16295967576668,-37.160003799358776,270.41748,1.5440869e+18,3.999265e+19
-10.058588329851547,-36.54867314536343,274.50665,1.5665248e+18,4.0140627e+19
-9.940883934049126,-35.86449409162205,273.57602,1.6792944e+18,4.0136603e+19
-9.804740480523705,-35.08001371428032,279.6508,1.9460746e+18,4.13959e+19
-9.643164920433899,-34.15875487056607,277.6773,2.0380088e+18,4.1179706e+19
-11.490671908354804,-49.194794623188606,267.75708,1.882062e+18,3.8815835e+19
-11.36978565176564,-48.257032481123275,272.3786,1.9146277e+18,3.9012076e+19
-11.264049512485151,-47.46047504129957,266.94122,1.871861e+18,3.784924e+19
-11.169686369760237,-46.76721171286628,275.3485,1.6056031e+18,3.739637e+19
-11.08407332370647,-46.1519287007966,267.8009,1.5805223e+18,3.677499e+19
-11.004937091254568,-45.59409030965916,266.8618,1.6897759e+18,3.7649666e+19
-10.931971252851119,-45.0889965244469,262.68256,1.5335961e+18,3.794916e+19
-10.862940072008765,-44.618546095375265,266.2853,1.4570387e+18,3.7992978e+19
